run_id,git_commit,code_sha256,manifest_sha256,configuration_sha256,clip_id,speaker_id,source_split,duration_seconds,seed,branch,is_watermarked,condition,attack_family,attack_setting,detector_threshold,frame_threshold,detection_score,mean_frame_probability,detected,expected_message,recovered_message,bit_errors,bit_accuracy,bit_error_rate,exact_message_recovery,watermark_snr_db,watermark_stoi,stoi,pesq,quality_snr_db,quality_applicability,output_duration_seconds,num_samples,output_peak,clipping_fraction,prelimit_clipping_fraction,embed_runtime_ms,attack_runtime_ms,detect_runtime_ms,status,error_message,attack_metadata,output_sha256
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,positive,1,clean,clean,"{""family"": ""clean"", ""id"": ""clean""}",0.5,0.5,1.0,0.9999923706054688,1,0001110110001111,0001110110001111,0,1.0,0.0,1,23.700740552559118,0.9988012086919792,0.9988012086919792,NA,23.700740552559118,aligned_to_original,4.94,79040,0.4376334846019745,0.0,0.0,5007.033957983367,0.3204289823770523,114.8228079546243,ok,,"{""clipping_fraction"": 0.0, ""duration_seconds"": 4.94, ""family"": ""clean"", ""id"": ""clean"", ""input_samples"": 79040, ""output_peak"": 0.4376334846019745, ""output_samples"": 79040, ""pre_limiter_peak"": 0.4376334846019745, ""sample_aligned"": true, ""sample_rate"": 16000, ""seed"": 3631222599593739694}",c35e6335348b5cf1a0d721564645b455fc392f9a92805ba1eb1dba7d8fde7ce0
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,negative,0,clean,clean,"{""family"": ""clean"", ""id"": ""clean""}",0.5,0.5,0.0,0.0008825351251289248,0,0001110110001111,0100110110000100,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,inf,aligned_to_original,4.94,79040,0.430023193359375,0.0,0.0,NA,0.30543108005076647,69.73063491750509,ok,,"{""clipping_fraction"": 0.0, ""duration_seconds"": 4.94, ""family"": ""clean"", ""id"": ""clean"", ""input_samples"": 79040, ""output_peak"": 0.430023193359375, ""output_samples"": 79040, ""pre_limiter_peak"": 0.430023193359375, ""sample_aligned"": true, ""sample_rate"": 16000, ""seed"": 3631222599593739694}",808191215a829143689c1fd32b11722a16d5bac7ce1ece341d45d3408f1f095e
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,positive,1,mp3_128,mp3,"{""bitrate_kbps"": 128, ""family"": ""mp3"", ""id"": ""mp3_128""}",0.5,0.5,1.0,0.9999918937683105,1,0001110110001111,0001110110001111,0,1.0,0.0,1,23.700740552559118,0.9988012086919792,NA,NA,NA,NA: MP3 codec delay/alignment not independently verified,4.94,79040,0.4157027304172516,0.0,0.0,5007.033957983367,25.225038058124483,70.32560603693128,ok,,"{""alignment_reason"": ""MP3 codec delay/alignment not independently verified"", ""bitrate_kbps"": 128, ""clipping_fraction"": 0.0, ""codec"": ""libmp3lame"", ""duration_seconds"": 4.94, ""family"": ""mp3"", ""id"": ""mp3_128"", ""input_samples"": 79040, ""output_peak"": 0.4157027304172516, ""output_samples"": 79040, ""pre_limiter_peak"": 0.4157027304172516, ""sample_aligned"": false, ""sample_rate"": 16000, ""seed"": 3592504028331641121}",09bccdb1fbd44f82a78c6f0484011118664d01f2433bae6b35a5c5de000584da
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,negative,0,mp3_128,mp3,"{""bitrate_kbps"": 128, ""family"": ""mp3"", ""id"": ""mp3_128""}",0.5,0.5,0.0,0.0008574228268116713,0,0001110110001111,0100110110000100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA: MP3 codec delay/alignment not independently verified,4.94,79040,0.408852219581604,0.0,0.0,NA,23.441037978045642,70.71085798088461,ok,,"{""alignment_reason"": ""MP3 codec delay/alignment not independently verified"", ""bitrate_kbps"": 128, ""clipping_fraction"": 0.0, ""codec"": ""libmp3lame"", ""duration_seconds"": 4.94, ""family"": ""mp3"", ""id"": ""mp3_128"", ""input_samples"": 79040, ""output_peak"": 0.408852219581604, ""output_samples"": 79040, ""pre_limiter_peak"": 0.408852219581604, ""sample_aligned"": false, ""sample_rate"": 16000, ""seed"": 3592504028331641121}",4d675d4cfa7ff179ca5960ca310d538b6e03ba3ee0784447b95d927f6adec893
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,positive,1,mp3_64,mp3,"{""bitrate_kbps"": 64, ""family"": ""mp3"", ""id"": ""mp3_64""}",0.5,0.5,1.0,0.9999915957450867,1,0001110110001111,0001110110001111,0,1.0,0.0,1,23.700740552559118,0.9988012086919792,NA,NA,NA,NA: MP3 codec delay/alignment not independently verified,4.94,79040,0.419128954410553,0.0,0.0,5007.033957983367,21.86643297318369,71.09101105015725,ok,,"{""alignment_reason"": ""MP3 codec delay/alignment not independently verified"", ""bitrate_kbps"": 64, ""clipping_fraction"": 0.0, ""codec"": ""libmp3lame"", ""duration_seconds"": 4.94, ""family"": ""mp3"", ""id"": ""mp3_64"", ""input_samples"": 79040, ""output_peak"": 0.419128954410553, ""output_samples"": 79040, ""pre_limiter_peak"": 0.419128954410553, ""sample_aligned"": false, ""sample_rate"": 16000, ""seed"": 2406233633930404726}",ed973366d9e6c6671623e57521b5bb2dead2913706c1da04586f893c16ec06d5
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,negative,0,mp3_64,mp3,"{""bitrate_kbps"": 64, ""family"": ""mp3"", ""id"": ""mp3_64""}",0.5,0.5,0.0,0.0008110132184810936,0,0001110110001111,0100110110000100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA: MP3 codec delay/alignment not independently verified,4.94,79040,0.40483608841896057,0.0,0.0,NA,21.793366060592234,69.73945209756494,ok,,"{""alignment_reason"": ""MP3 codec delay/alignment not independently verified"", ""bitrate_kbps"": 64, ""clipping_fraction"": 0.0, ""codec"": ""libmp3lame"", ""duration_seconds"": 4.94, ""family"": ""mp3"", ""id"": ""mp3_64"", ""input_samples"": 79040, ""output_peak"": 0.40483608841896057, ""output_samples"": 79040, ""pre_limiter_peak"": 0.40483608841896057, ""sample_aligned"": false, ""sample_rate"": 16000, ""seed"": 2406233633930404726}",add6364de915be9e3259066300c6994b33b210326892d6f1f9e79db226d97670
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,positive,1,noise_30,noise,"{""family"": ""noise"", ""id"": ""noise_30"", ""snr_db"": 30}",0.5,0.5,0.8494433164596558,0.8578625321388245,1,0001110110001111,0001110110001111,0,1.0,0.0,1,23.700740552559118,0.9988012086919792,0.9977178387915394,NA,22.795639837350322,aligned_to_original,4.94,79040,0.43722838163375854,0.0,0.0,5007.033957983367,1.8324630800634623,67.87082995288074,ok,,"{""clipping_fraction"": 0.0, ""duration_seconds"": 4.94, ""family"": ""noise"", ""id"": ""noise_30"", ""input_samples"": 79040, ""noise_snr_db"": 30.000000003939004, ""noise_snr_db_pre_clipping"": 30.0, ""output_peak"": 0.43722838163375854, ""output_samples"": 79040, ""pre_limiter_peak"": 0.43722838056327507, ""sample_aligned"": true, ""sample_rate"": 16000, ""seed"": 2492718827592896228, ""snr_db"": 30}",3cedb1c5e6fda39dabf26b9c5e24525d8067bfc8ef384f7b27458ecd22b3093b
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,negative,0,noise_30,noise,"{""family"": ""noise"", ""id"": ""noise_30"", ""snr_db"": 30}",0.5,0.5,0.0,0.0036724295932799578,0,0001110110001111,0101111110000101,NA,NA,NA,NA,NA,NA,0.9988892084241615,NA,29.999999995924505,aligned_to_original,4.94,79040,0.4296170175075531,0.0,0.0,NA,1.6420709434896708,69.79904498439282,ok,,"{""clipping_fraction"": 0.0, ""duration_seconds"": 4.94, ""family"": ""noise"", ""id"": ""noise_30"", ""input_samples"": 79040, ""noise_snr_db"": 29.999999995924505, ""noise_snr_db_pre_clipping"": 30.0, ""output_peak"": 0.4296170175075531, ""output_samples"": 79040, ""pre_limiter_peak"": 0.42961700807649233, ""sample_aligned"": true, ""sample_rate"": 16000, ""seed"": 2492718827592896228, ""snr_db"": 30}",05466274f7d555c639a25b4423e0bc6c3a9d53c9749be7d50ecc1c73853e9490
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,positive,1,noise_20,noise,"{""family"": ""noise"", ""id"": ""noise_20"", ""snr_db"": 20}",0.5,0.5,0.44395244121551514,0.4511745572090149,0,0001110110001111,0001110110001111,0,1.0,0.0,1,23.700740552559118,0.9988012086919792,0.9881192764557712,NA,18.483652460921057,aligned_to_original,4.94,79040,0.4381563067436218,0.0,0.0,5007.033957983367,1.653452985920012,69.47354599833488,ok,,"{""clipping_fraction"": 0.0, ""duration_seconds"": 4.94, ""family"": ""noise"", ""id"": ""noise_20"", ""input_samples"": 79040, ""noise_snr_db"": 20.000000012884975, ""noise_snr_db_pre_clipping"": 19.999999999999996, ""output_peak"": 0.4381563067436218, ""output_samples"": 79040, ""pre_limiter_peak"": 0.4381563110761658, ""sample_aligned"": true, ""sample_rate"": 16000, ""seed"": 15380465336371480071, ""snr_db"": 20}",287da8888e9b8a05ae886d3f68b038516da3b4ea83dd98d791efcf699ace1e30
20260905T233050.318287Z,3a1ad8dfa458b46fc17f0ade0b5f23d3607a71f1,4858edc00fd66503cce1a954f2d6d0f4d53228f58f3723839b191aace47c4780,85a65f1f57cd5918e3529a1210a45ad78cb20cab8a6db637589aecc38e333336,15cd64de2c8ddb012c7001ab2b9d14b9009c3f6c85d26ac718ef884459e419c7,2961-961-0021,2961,test-clean,4.94,20260905,negative,0,noise_20,noise,"{""family"": ""noise"", ""id"": ""noise_20"", ""snr_db"": 20}",0.5,0.5,0.0,0.0027832710184156895,0,0001110110001111,0110111110100101,NA,NA,NA,NA,NA,NA,0.9892305472756436,NA,19.999999998211962,aligned_to_original,4.94,79040,0.43054741621017456,0.0,0.0,NA,1.6191380564123392,70.5268089659512,ok,,"{""clipping_fraction"": 0.0, ""duration_seconds"": 4.94, ""family"": ""noise"", ""id"": ""noise_20"", ""input_samples"": 79040, ""noise_snr_db"": 19.999999998211962, ""noise_snr_db_pre_clipping"": 19.999999999999996, ""output_peak"": 0.43054741621017456, ""output_samples"": 79040, ""pre_limiter_peak"": 0.4305474152851789, ""sample_aligned"": true, ""sample_rate"": 16000, ""seed"": 15380465336371480071, ""snr_db"": 20}",863bab24f0014b85f6dc59e1f5d533dce043730493155dcf9ed08834a182152a
